irr-C11-1	1 x (irr-A10-1)
irr-C11-22-q	2 x (irr-A10-11)
irr-C11-230	2 x (irr-A10-55) + 1 x (irr-A10-120)
irr-C11-253	1 x (irr-A10-1) + 2 x (irr-A10-66) + 1 x (irr-A10-120)
