irr-D16-1	1 x (irr-C2-1,irr-B13-1)
irr-D16-32	1 x (irr-C2-5,irr-B13-1) + 1 x (irr-C2-1,irr-B13-27)
irr-D16-496	1 x (irr-C2-10,irr-B13-1) + 1 x (irr-C2-5,irr-B13-27) + 1 x (irr-C2-1,irr-B13-351)
irr-D16-527	1 x (irr-C2-1,irr-B13-1) + 1 x (irr-C2-14,irr-B13-1) + 1 x (irr-C2-5,irr-B13-27) + 1 x (irr-C2-1,irr-B13-377)
