irr-D16-1	1 x (irr-A1-1,irr-A1-1,irr-D14-1)
irr-D16-32	1 x (irr-A1-2-q,irr-A1-2-q,irr-D14-1) + 1 x (irr-A1-1,irr-A1-1,irr-D14-28)
irr-D16-496	1 x (irr-A1-3,irr-A1-1,irr-D14-1) + 1 x (irr-A1-1,irr-A1-3,irr-D14-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D14-28) + 1 x (irr-A1-1,irr-A1-1,irr-D14-378)
irr-D16-527	1 x (irr-A1-1,irr-A1-1,irr-D14-1) + 1 x (irr-A1-3,irr-A1-3,irr-D14-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D14-28) + 1 x (irr-A1-1,irr-A1-1,irr-D14-405)
