irr-D16-1	1 x (irr-B5-1,irr-B10-1)
irr-D16-32	1 x (irr-B5-11,irr-B10-1) + 1 x (irr-B5-1,irr-B10-21)
irr-D16-496	1 x (irr-B5-11,irr-B10-21) + 1 x (irr-B5-55,irr-B10-1) + 1 x (irr-B5-1,irr-B10-210)
irr-D16-527	1 x (irr-B5-1,irr-B10-1) + 1 x (irr-B5-11,irr-B10-21) + 1 x (irr-B5-65,irr-B10-1) + 1 x (irr-B5-1,irr-B10-230)
