irr-D16-1	1 x (irr-D7-1,irr-D9-1)
irr-D16-32	1 x (irr-D7-14,irr-D9-1) + 1 x (irr-D7-1,irr-D9-18)
irr-D16-496	1 x (irr-D7-14,irr-D9-18) + 1 x (irr-D7-91,irr-D9-1) + 1 x (irr-D7-1,irr-D9-153)
irr-D16-527	1 x (irr-D7-1,irr-D9-1) + 1 x (irr-D7-14,irr-D9-18) + 1 x (irr-D7-104,irr-D9-1) + 1 x (irr-D7-1,irr-D9-170)
