irr-D16-1	1 x (irr-D5-1,irr-D11-1)
irr-D16-32	1 x (irr-D5-10,irr-D11-1) + 1 x (irr-D5-1,irr-D11-22)
irr-D16-496	1 x (irr-D5-10,irr-D11-22) + 1 x (irr-D5-45,irr-D11-1) + 1 x (irr-D5-1,irr-D11-231)
irr-D16-527	1 x (irr-D5-1,irr-D11-1) + 1 x (irr-D5-10,irr-D11-22) + 1 x (irr-D5-54,irr-D11-1) + 1 x (irr-D5-1,irr-D11-252)
