irr-A5-1	1 x (irr-A4-1)
irr-A5-6	1 x (irr-A4-1) + 1 x (irr-A4-5)
irr-A5-15	1 x (irr-A4-5) + 1 x (irr-A4-10)
irr-A5-20-q	2 x (irr-A4-10)
irr-A5-21	1 x (irr-A4-1) + 1 x (irr-A4-5) + 1 x (irr-A4-15)
irr-A5-35	1 x (irr-A4-1) + 2 x (irr-A4-5) + 1 x (irr-A4-24)
irr-A5-56	1 x (irr-A4-1) + 1 x (irr-A4-5) + 1 x (irr-A4-15) + 1 x (irr-A4-35)
irr-A5-70	1 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-40)
irr-A5-84	1 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-24) + 1 x (irr-A4-45)
irr-A5-105a	2 x (irr-A4-10) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
irr-A5-105b	1 x (irr-A4-15) + 1 x (irr-A4-40) + 1 x (irr-A4-50)
irr-A5-189	1 x (irr-A4-24) + 2 x (irr-A4-45) + 1 x (irr-A4-75)
