irr-A5-1	1 x (irr-A1-1,irr-A3-1)
irr-A5-6	1 x (irr-A1-2-q,irr-A3-1) + 1 x (irr-A1-1,irr-A3-4)
irr-A5-15	1 x (irr-A1-1,irr-A3-1) + 1 x (irr-A1-2-q,irr-A3-4) + 1 x (irr-A1-1,irr-A3-6)
irr-A5-20-q	2 x (irr-A1-1,irr-A3-4) + 1 x (irr-A1-2-q,irr-A3-6)
irr-A5-21	1 x (irr-A1-3,irr-A3-1) + 1 x (irr-A1-2-q,irr-A3-4) + 1 x (irr-A1-1,irr-A3-10)
irr-A5-35	1 x (irr-A1-1,irr-A3-1) + 1 x (irr-A1-3,irr-A3-1) + 2 x (irr-A1-2-q,irr-A3-4) + 1 x (irr-A1-1,irr-A3-15)
irr-A5-56	1 x (irr-A1-4-q,irr-A3-1) + 1 x (irr-A1-3,irr-A3-4) + 1 x (irr-A1-2-q,irr-A3-10) + 1 x (irr-A1-1,irr-A3-20c)
irr-A5-70	1 x (irr-A1-2-q,irr-A3-1) + 1 x (irr-A1-1,irr-A3-4) + 1 x (irr-A1-3,irr-A3-4) + 1 x (irr-A1-2-q,irr-A3-6) + 1 x (irr-A1-2-q,irr-A3-10) + 1 x (irr-A1-1,irr-A3-20a)
irr-A5-84	1 x (irr-A1-2-q,irr-A3-1) + 2 x (irr-A1-1,irr-A3-4) + 1 x (irr-A1-3,irr-A3-4) + 1 x (irr-A1-2-q,irr-A3-6) + 1 x (irr-A1-2-q,irr-A3-15) + 1 x (irr-A1-1,irr-A3-20a)
irr-A5-105a	2 x (irr-A1-2-q,irr-A3-4) + 1 x (irr-A1-1,irr-A3-6) + 1 x (irr-A1-3,irr-A3-6) + 1 x (irr-A1-1,irr-A3-10) + 1 x (irr-A1-1,irr-A3-15) + 1 x (irr-A1-2-q,irr-A3-20a)
irr-A5-105b	1 x (irr-A1-1,irr-A3-1) + 1 x (irr-A1-2-q,irr-A3-4) + 1 x (irr-A1-1,irr-A3-6) + 1 x (irr-A1-3,irr-A3-10) + 1 x (irr-A1-1,irr-A3-20b) + 1 x (irr-A1-2-q,irr-A3-20a)
