irr-A5-1	1 x (irr-A3-1)
irr-A5-6	1 x (irr-A3-6)
irr-A5-15	1 x (irr-A3-15)
irr-A5-20-q	2 x (irr-A3-10)
irr-A5-21	1 x (irr-A3-1) + 1 x (irr-A3-20b)
irr-A5-35	1 x (irr-A3-15) + 1 x (irr-A3-20b)
irr-A5-56	1 x (irr-A3-6) + 1 x (irr-A3-50)
irr-A5-70	1 x (irr-A3-6) + 1 x (irr-A3-64)
irr-A5-84	2 x (irr-A3-10) + 1 x (irr-A3-64)
irr-A5-105a	1 x (irr-A3-15) + 2 x (irr-A3-45)
irr-A5-105b	1 x (irr-A3-1) + 1 x (irr-A3-20b) + 1 x (irr-A3-84a)
irr-A5-189	1 x (irr-A3-15) + 2 x (irr-A3-45) + 1 x (irr-A3-84a)
