irr-A5-1	1 x (irr-C3-1)
irr-A5-6	1 x (irr-C3-6-q)
irr-A5-15	1 x (irr-C3-1) + 1 x (irr-C3-14a)
irr-A5-20-q	1 x (irr-C3-6-q) + 1 x (irr-C3-14b-q)
irr-A5-21	1 x (irr-C3-21)
irr-A5-35	1 x (irr-C3-14a) + 1 x (irr-C3-21)
irr-A5-56	1 x (irr-C3-56-q)
irr-A5-70	1 x (irr-C3-6-q) + 1 x (irr-C3-64-q)
irr-A5-84	1 x (irr-C3-6-q) + 1 x (irr-C3-14b-q) + 1 x (irr-C3-64-q)
irr-A5-105a	1 x (irr-C3-14a) + 1 x (irr-C3-21) + 1 x (irr-C3-70)
irr-A5-105b	1 x (irr-C3-1) + 1 x (irr-C3-14a) + 1 x (irr-C3-90)
