mdl-(0,0,2)-184-97D20C3EC9B70EAB	vertices = (vtx-A03-83-1-3, vtx-B03-133-3-5)	Δ = 184	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 6 x (irr-B3-7) + 10 x (irr-B3-8)	(1,2) : 1 x (irr-A3-4, irr-B3-8)
mdl-(0,0,2)-186-1C7ED761D49AD465	vertices = (vtx-A03-83-1-3, vtx-A03-127-3-5)	Δ = 186	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 14 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 28 x (irr-A3-4) + 1 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-6)
mdl-(0,0,2)-188-42DCBDE4093AF4DB	vertices = (vtx-A03-83-1-3, vtx-B03-133-3-5)	Δ = 188	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 2 x (irr-B3-7) + 14 x (irr-B3-8)	(1,2) : 1 x (irr-A3-4, irr-B3-7)
mdl-(0,0,2)-189-AD45ED7A00D5575D	vertices = (vtx-A03-83-1-3, vtx-A06-134-1-3)	Δ = 189	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 13 x (irr-A6-7) + 3 x (irr-A6-21)	(1,2) : 1 x (irr-A3-4, irr-A6-7)
mdl-(0,0,2)-191-9F18C3EFF6798876	vertices = (vtx-A03-83-1-3, vtx-D04-140-3-5)	Δ = 191	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 3 x (irr-D4-8a) + 14 x (irr-D4-8b)	(1,2) : 1 x (irr-A3-4, irr-D4-8a)
mdl-(0,0,2)-191-6DB3813702D42F97	vertices = (vtx-A03-83-1-3, vtx-D04-140-3-5)	Δ = 191	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 12 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 7 x (irr-D4-8a) + 10 x (irr-D4-8b)	(1,2) : 1 x (irr-A3-4, irr-D4-8b)
mdl-(0,0,2)-194-5D51CBAC2188B04B	vertices = (vtx-A03-83-1-3, vtx-A04-151-3-5)	Δ = 194	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 17 x (irr-A4-5) + 5 x (irr-A4-10)	(1,2) : 2 x (irr-A3-4, irr-A4-5)
mdl-(0,0,2)-195-B4C6A52114BCDE5B	vertices = (vtx-A03-83-1-3, vtx-B04-148-3-5)	Δ = 195	bI-odd = ([[3,1],[1,0],[2,1]])	bI-even = ()	(1) : 11 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 4 x (irr-B4-9) + 7 x (irr-B4-16)	(1,2) : 1 x (irr-A3-4, irr-B4-9)
mdl-(0,0,2)-195-2D268D04A301A932	vertices = (vtx-A03-83-1-3, vtx-G02-140-4-6)	Δ = 195	bI-odd = ([[3,1],[1,0],[2,0]])	bI-even = ()	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 18 x (irr-G2-7)	(1,2) : 1 x (irr-A3-4, irr-G2-7)
mdl-(0,0,2)-196-B7EAF5B17503D35F	vertices = (vtx-A03-83-1-3, vtx-A06-141-1-3)	Δ = 196	bI-odd = ([[3,1],[1,0],[1,0]])	bI-even = ()	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 18 x (irr-A6-7) + 1 x (irr-A6-35)	(1,2) : 1 x (irr-A3-4, irr-A6-7)
