mdl-(1,5,1)-229-4F90BDB8DA188243	vertices = (vtx-A10-122-n2-0, vtx-A04-126-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A4-10)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1 x (irr-C3-14a)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-C3-6-q)	(2,3) : 1 x (irr-A4-5, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A3-4)	(2,7) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,5,1)-230-E45A47B321055293	vertices = (vtx-A10-122-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,5,1)-231-54872452AF564D09	vertices = (vtx-A10-122-n2-0, vtx-A04-126-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A4-10)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A5-15)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-A5-6)	(2,3) : 1 x (irr-A4-5, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A3-4)	(2,7) : 1 x (irr-A4-5, irr-A5-6)
mdl-(1,5,1)-231-897B1E89B36809A0	vertices = (vtx-A10-122-n2-0, vtx-A04-126-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A4-10)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-C3-6-q)	(2,3) : 1 x (irr-A4-5, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A3-4)	(2,7) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,5,1)-231-AB6B91ADC90A7951	vertices = (vtx-A10-122-n2-0, vtx-A04-126-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 4 x (irr-A4-10)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A4-10)	(7) : 2 x (irr-A4-10)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A4-5)	(1,7) : 1 x (irr-A10-11, irr-A4-5)	(2,3) : 1 x (irr-A4-5, irr-A3-4)	(2,4) : 1 x (irr-A4-5, irr-A3-4)	(2,5) : 1 x (irr-A4-5, irr-A3-4)	(2,6) : 1 x (irr-A4-5, irr-A4-5)	(2,7) : 1 x (irr-A4-5, irr-A4-5)
mdl-(1,5,1)-232-0B3AE45E471E4FD3	vertices = (vtx-A10-122-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A10-11)	(2) : 4 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,5,1)-232-6B0D9F7A7B1BE04F	vertices = (vtx-A10-122-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-A10-11)	(2) : 3 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A4-5) + 2 x (irr-A4-10)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-A4-5)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A4-5)
mdl-(1,5,1)-232-48A7C99723376458	vertices = (vtx-A10-122-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 1 x (irr-A5-6) + 2 x (irr-A5-15)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,5,1)-232-AAEB9166090026BA	vertices = (vtx-A10-122-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A3-4)	(1,7) : 1 x (irr-A10-11, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(2,7) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,5,1)-232-8ADD68D1B2D1C289	vertices = (vtx-A10-122-n2-0, vtx-A03-105-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 4 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A4-5) + 2 x (irr-A4-10)	(7) : 1 x (irr-A4-5) + 2 x (irr-A4-10)	(1,3) : 1 x (irr-A10-11, irr-A3-4)	(1,4) : 1 x (irr-A10-11, irr-A3-4)	(1,5) : 1 x (irr-A10-11, irr-A3-4)	(1,6) : 1 x (irr-A10-11, irr-A4-5)	(1,7) : 1 x (irr-A10-11, irr-A4-5)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A4-5)	(2,7) : 1 x (irr-A3-4, irr-A4-5)
