mdl-(1,7,0)-230-91E43CB32DDCB3FF	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-91-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1 x (irr-C3-14a)	(8) : 2 x (irr-A5-15)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-C3-6-q)	(1,8) : 1 x (irr-A15-16, irr-A5-6)
mdl-(1,7,0)-230-766F84EC23F43A1A	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1 x (irr-C3-14a)	(8) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-C3-6-q)	(1,8) : 1 x (irr-A15-16, irr-C3-6-q)
mdl-(1,7,0)-230-5853D64E650071A7	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 230	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A4-10)	(7) : 2 x (irr-A4-10)	(8) : 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A4-5)	(1,7) : 1 x (irr-A15-16, irr-A4-5)	(1,8) : 1 x (irr-A15-16, irr-C3-6-q)
mdl-(1,7,0)-231-693E886BD843D0C4	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-A15-16)	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A4-10)	(8) : 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A4-5)	(1,8) : 1 x (irr-A15-16, irr-C3-6-q)
mdl-(1,7,0)-231-E7FA347FB14ED459	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-92-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1 x (irr-C3-14a)	(8) : 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-C3-6-q)	(1,8) : 1 x (irr-A15-16, irr-A5-6)
mdl-(1,7,0)-232-221C56C1EB2C59D5	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A15-16)	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(8) : 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A3-4)	(1,8) : 1 x (irr-A15-16, irr-C3-6-q)
mdl-(1,7,0)-232-2E8C8F2982CF7F3B	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A07-121-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A3-6)	(8) : 2 x (irr-A7-28)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A3-4)	(1,8) : 1 x (irr-A15-16, irr-A7-8)
mdl-(1,7,0)-232-6E19E1DBDFE1A050	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A06-106-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A4-10)	(8) : 2 x (irr-A6-21)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A4-5)	(1,8) : 1 x (irr-A15-16, irr-A6-7)
mdl-(1,7,0)-232-D2F0744A4CB08831	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-93-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 1 x (irr-C3-14a)	(8) : 2 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-C3-6-q)	(1,8) : 1 x (irr-A15-16, irr-A5-6)
mdl-(1,7,0)-232-460303B31B0E6F2B	vertices = (vtx-A15-257-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2, vtx-A05-91-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-6)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(7) : 2 x (irr-A5-15)	(8) : 2 x (irr-A5-15)	(1,2) : 1 x (irr-A15-16, irr-A3-4)	(1,3) : 1 x (irr-A15-16, irr-A3-4)	(1,4) : 1 x (irr-A15-16, irr-A3-4)	(1,5) : 1 x (irr-A15-16, irr-A3-4)	(1,6) : 1 x (irr-A15-16, irr-A3-4)	(1,7) : 1 x (irr-A15-16, irr-A5-6)	(1,8) : 1 x (irr-A15-16, irr-A5-6)
