mdl-(1,2,3)-230-67C85F2CD0191F75	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-91-0-2, vtx-A05-91-0-2)	Δ = 230	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 2 x (irr-A5-15)	(6) : 2 x (irr-A5-15)	(1,5) : 1 x (irr-A3-4, irr-A5-6)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A5-6)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A5-6)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-A5-6)	(4,6) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,3)-230-8DDF08D7EEB22B83	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-91-0-2, vtx-C03-91-0-2)	Δ = 230	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 2 x (irr-A5-15)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 1 x (irr-A3-4, irr-A5-6)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A5-6)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A5-6)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A5-6)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,3)-230-00CE10D1F285C7EC	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-91-0-2, vtx-C03-91-0-2)	Δ = 230	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,3)-230-B4E48A086704A892	vertices = (vtx-A03-39-n1-1, vtx-A03-127-3-5, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 230	bI-odd = ([[3,1],[0,-1],[2,1],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 5 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A3-4)
mdl-(1,2,3)-231-FFD2376299D4A67A	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-61-0-2, vtx-A06-106-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A6-21)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A6-7)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A6-7)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A6-7)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A6-7)
mdl-(1,2,3)-231-A4A76DD8568E2637	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-76-0-2, vtx-A05-91-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 2 x (irr-A4-10)	(6) : 2 x (irr-A5-15)	(1,5) : 1 x (irr-A3-4, irr-A4-5)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A4-5)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A4-5)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-A4-5)	(4,6) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,3)-231-DAC322132976BF30	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-76-0-2, vtx-C03-91-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 2 x (irr-A4-10)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,5) : 1 x (irr-A3-4, irr-A4-5)	(1,6) : 1 x (irr-A3-4, irr-C3-6-q)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A4-5)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A4-5)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A4-5)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,3)-231-80FBD1EF5C730926	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-91-0-2, vtx-A05-92-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 2 x (irr-A5-15)	(6) : 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,5) : 1 x (irr-A3-4, irr-A5-6)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A5-6)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A5-6)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-A5-6)	(4,6) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,3)-231-A597E899B3CE445C	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-91-0-2, vtx-A05-92-0-2)	Δ = 231	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(6) : 1 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,5) : 1 x (irr-A3-4, irr-C3-6-q)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,3)-232-A06D707DB413D871	vertices = (vtx-A03-39-n1-1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 232	bI-odd = ([[3,1],[0,-1],[1,0],[1,0],[1,0],[1,1],[1,1]])	bI-even = ()	(1) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A5-15)	(1,5) : 1 x (irr-A3-4, irr-A3-4)	(1,6) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A5-6)
