mdl-(1,0,5)-228-8F0E5DE89172F9EA	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-C03-117-1-3)	Δ = 228	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 1 x (irr-C3-6-q, irr-C3-6-q)
mdl-(1,0,5)-229-334093DE0E4482C8	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-115-1-3, vtx-A05-120-1-3)	Δ = 229	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 2 x (irr-C3-14a)	(6) : 2 x (irr-A5-6) + 1 x (irr-A5-20-q) + 1 x (irr-A5-15)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-A5-6)	(5,6) : 1 x (irr-C3-6-q, irr-A5-6)
mdl-(1,0,5)-229-8AF806FDB647416A	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3, vtx-A05-118-1-3)	Δ = 229	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(6) : 3 x (irr-A5-15)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-C3-6-q)	(2,6) : 1 x (irr-A3-4, irr-A5-6)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-C3-6-q)	(3,6) : 1 x (irr-A3-4, irr-A5-6)	(4,5) : 1 x (irr-A3-4, irr-C3-6-q)	(4,6) : 1 x (irr-A3-4, irr-A5-6)	(5,6) : 1 x (irr-C3-6-q, irr-A5-6)
mdl-(1,0,5)-229-5F0B1591AF0D3CB8	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-A04-101-1-3, vtx-C03-117-1-3)	Δ = 229	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A4-10)	(5) : 3 x (irr-A4-10)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A4-5)	(2,5) : 1 x (irr-A3-4, irr-A4-5)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A4-5)	(3,5) : 1 x (irr-A3-4, irr-A4-5)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A4-5, irr-A4-5)	(4,6) : 1 x (irr-A4-5, irr-C3-6-q)	(5,6) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,0,5)-230-84B9EEC59D94D91F	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3)	Δ = 230	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 3 x (irr-A3-4) + 3 x (irr-A3-6)	(6) : 3 x (irr-A4-5) + 3 x (irr-A4-10)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A4-5)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A4-5)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A4-5)	(5,6) : 1 x (irr-A3-4, irr-A4-5)
mdl-(1,0,5)-230-1FC8E561DB867DE2	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-117-1-3)	Δ = 230	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(6) : 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,0,5)-230-40C868AFDE396318	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A07-149-1-3)	Δ = 230	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 3 x (irr-A3-6)	(6) : 3 x (irr-A7-28)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-4, irr-A7-8)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 1 x (irr-A3-4, irr-A7-8)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-A7-8)	(5,6) : 1 x (irr-A3-4, irr-A7-8)
mdl-(1,0,5)-230-79477A486A0C8841	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-149-4-6)	Δ = 230	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[2,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 3 x (irr-A3-6)	(6) : 6 x (irr-A3-6)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A3-4)	(2,6) : 2 x (irr-A3-4, irr-A3-4)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A3-4)	(3,6) : 2 x (irr-A3-4, irr-A3-4)	(4,5) : 1 x (irr-A3-4, irr-A3-4)	(4,6) : 2 x (irr-A3-4, irr-A3-4)	(5,6) : 2 x (irr-A3-4, irr-A3-4)
mdl-(1,0,5)-230-63177BE7AB4FD762	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-C03-117-1-3)	Δ = 230	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 3 x (irr-A3-6)	(5) : 1 x (irr-A4-5) + 3 x (irr-A4-10)	(6) : 2.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q) + 1 x (irr-C3-14a)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A4-5)	(2,6) : 1 x (irr-A3-4, irr-C3-6-q)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A4-5)	(3,6) : 1 x (irr-A3-4, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-A4-5)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 1 x (irr-A4-5, irr-C3-6-q)
mdl-(1,0,5)-230-550B5DB35722DC29	vertices = (vtx-A07-n27-n1-n1, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-A06-134-1-3)	Δ = 230	bI-odd = ([[3,1],[0,1],[1,0],[1,0],[1,0],[1,0],[1,0]])	bI-even = ()	(1) : 1 x (irr-A7-36)	(2) : 3 x (irr-A3-6)	(3) : 3 x (irr-A3-6)	(4) : 3 x (irr-A3-6)	(5) : 3 x (irr-A4-10)	(6) : 3 x (irr-A6-21)	(2,3) : 1 x (irr-A3-4, irr-A3-4)	(2,4) : 1 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-A4-5)	(2,6) : 1 x (irr-A3-4, irr-A6-7)	(3,4) : 1 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-A4-5)	(3,6) : 1 x (irr-A3-4, irr-A6-7)	(4,5) : 1 x (irr-A3-4, irr-A4-5)	(4,6) : 1 x (irr-A3-4, irr-A6-7)	(5,6) : 1 x (irr-A4-5, irr-A6-7)
