mdl-(1,6,0)-227-F028E83B9CE79283	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 227	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-C3-6-q)	(1,7) : 1 x (irr-A13-14, irr-C3-6-q)
mdl-(1,6,0)-228-0551A4CC806392D6	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 3 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-A4-5)
mdl-(1,6,0)-228-ACB8EF8DBA47F7B7	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 228	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 1 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A4-5) + 2 x (irr-A4-10)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A4-5)	(1,7) : 1 x (irr-A13-14, irr-C3-6-q)
mdl-(1,6,0)-229-39374DDAEBC3F5FA	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A05-91-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-A5-6)
mdl-(1,6,0)-229-A8637075706AB720	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-91-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-C3-6-q)
mdl-(1,6,0)-229-09D0449EFE4E189E	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C04-119-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(7) : 2 x (irr-C4-8-q) + 1 x (irr-C4-27)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A3-4)	(1,7) : 1 x (irr-A13-14, irr-C4-8-q)
mdl-(1,6,0)-229-2A3BF4D7BC0D3EA0	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(1) : 2 x (irr-A13-14)	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A4-5) + 2 x (irr-A4-10)	(7) : 2 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-A4-5)	(1,7) : 1 x (irr-A13-14, irr-A4-5)
mdl-(1,6,0)-229-EA7ABB81A0565143	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-A05-91-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 2 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-C3-6-q)	(1,7) : 1 x (irr-A13-14, irr-A5-6)
mdl-(1,6,0)-229-6668D0EC4C39A208	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(7) : 3.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A3-4)	(1,6) : 1 x (irr-A13-14, irr-C3-6-q)	(1,7) : 1 x (irr-A13-14, irr-C3-6-q)
mdl-(1,6,0)-229-7F568F31E40AD043	vertices = (vtx-A13-197-n2-0, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2, vtx-A04-76-0-2, vtx-C03-89-0-2)	Δ = 229	bI-odd = ()	bI-even = ([[2,2],[1,-1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A4-5) + 2 x (irr-A4-10)	(6) : 2 x (irr-A4-5) + 2 x (irr-A4-10)	(7) : 2 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A13-14, irr-A3-4)	(1,3) : 1 x (irr-A13-14, irr-A3-4)	(1,4) : 1 x (irr-A13-14, irr-A3-4)	(1,5) : 1 x (irr-A13-14, irr-A4-5)	(1,6) : 1 x (irr-A13-14, irr-A4-5)	(1,7) : 1 x (irr-A13-14, irr-C3-6-q)
