mdl-(1,4,1)-231-0CD9FE71E0B47EA5	vertices = (vtx-A07-65-n2-0, vtx-A06-162-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 231	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 2 x (irr-A6-7) + 4 x (irr-A6-21)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A6-7, irr-A3-4)	(2,4) : 1 x (irr-A6-7, irr-A3-4)	(2,5) : 1 x (irr-A6-7, irr-A3-4)	(2,6) : 1 x (irr-A6-7, irr-A3-4)
mdl-(1,4,1)-232-CF59A3B42A6A86D9	vertices = (vtx-A07-65-n2-0, vtx-A05-147-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 6 x (irr-A5-6) + 1 x (irr-A5-20-q) + 2 x (irr-A5-15)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A5-6, irr-A3-4)	(2,4) : 1 x (irr-A5-6, irr-A3-4)	(2,5) : 1 x (irr-A5-6, irr-A3-4)	(2,6) : 1 x (irr-A5-6, irr-A3-4)
mdl-(1,4,1)-232-3D3EDED0B8D70228	vertices = (vtx-A07-65-n2-0, vtx-C03-147-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 232	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 8.5 x (irr-C3-6-q) + 1.5 x (irr-C3-14b-q)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-C3-6-q, irr-A3-4)	(2,4) : 1 x (irr-C3-6-q, irr-A3-4)	(2,5) : 1 x (irr-C3-6-q, irr-A3-4)	(2,6) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(1,4,1)-233-641BD7C944B618A4	vertices = (vtx-A07-65-n2-0, vtx-A05-148-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 233	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 7 x (irr-A5-6) + 1.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A5-6, irr-A3-4)	(2,4) : 1 x (irr-A5-6, irr-A3-4)	(2,5) : 1 x (irr-A5-6, irr-A3-4)	(2,6) : 1 x (irr-A5-6, irr-A3-4)
mdl-(1,4,1)-234-0CF004EF060FB77E	vertices = (vtx-A07-65-n2-0, vtx-A05-149-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 234	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 8 x (irr-A5-6) + 2 x (irr-A5-20-q)	(3) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A5-6, irr-A3-4)	(2,4) : 1 x (irr-A5-6, irr-A3-4)	(2,5) : 1 x (irr-A5-6, irr-A3-4)	(2,6) : 1 x (irr-A5-6, irr-A3-4)
mdl-(1,4,1)-236-2099C1AE2C9FB3D1	vertices = (vtx-A07-65-n2-0, vtx-C04-183-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 236	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 5 x (irr-C4-8-q) + 0.5 x (irr-C4-48-q) + 1 x (irr-C4-27)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-C4-8-q, irr-A3-4)	(2,4) : 1 x (irr-C4-8-q, irr-A3-4)	(2,5) : 1 x (irr-C4-8-q, irr-A3-4)	(2,6) : 1 x (irr-C4-8-q, irr-A3-4)
mdl-(1,4,1)-237-43379AAEB1C393CC	vertices = (vtx-A07-65-n2-0, vtx-G02-168-8-8, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 237	bI-odd = ()	bI-even = ([[2,2],[1,-1],[2,2],[0,1],[0,1],[0,1],[0,1]])	(2) : 8 x (irr-G2-7) + 1 x (irr-G2-14)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-G2-7, irr-A3-4)	(2,4) : 1 x (irr-G2-7, irr-A3-4)	(2,5) : 1 x (irr-G2-7, irr-A3-4)	(2,6) : 1 x (irr-G2-7, irr-A3-4)
mdl-(1,4,1)-237-A981FDD1A31364F9	vertices = (vtx-A07-65-n2-0, vtx-A03-176-8-8, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 237	bI-odd = ()	bI-even = ([[2,2],[1,-1],[2,2],[0,1],[0,1],[0,1],[0,1]])	(2) : 8 x (irr-A3-4) + 4 x (irr-A3-6) + 1 x (irr-A3-15)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 1 x (irr-A3-6, irr-A3-4)
mdl-(1,4,1)-237-20F795DBC0E43B92	vertices = (vtx-A07-65-n2-0, vtx-B03-184-8-8, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 237	bI-odd = ()	bI-even = ([[2,2],[1,-1],[2,2],[0,1],[0,1],[0,1],[0,1]])	(2) : 8 x (irr-B3-7) + 1 x (irr-B3-21)	(3) : 2 x (irr-A3-6)	(4) : 2 x (irr-A3-6)	(5) : 2 x (irr-A3-6)	(6) : 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-B3-8, irr-A3-4)	(2,4) : 1 x (irr-B3-8, irr-A3-4)	(2,5) : 1 x (irr-B3-8, irr-A3-4)	(2,6) : 1 x (irr-B3-8, irr-A3-4)
mdl-(1,4,1)-238-188CE39592C83D6D	vertices = (vtx-A07-65-n2-0, vtx-A06-169-2-4, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 238	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[0,1],[0,1],[0,1],[0,1]])	(2) : 7 x (irr-A6-7) + 1 x (irr-A6-21) + 1 x (irr-A6-35)	(3) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(6) : 1 x (irr-A3-4) + 2 x (irr-A3-6)	(1,3) : 1 x (irr-A7-8, irr-A3-4)	(1,4) : 1 x (irr-A7-8, irr-A3-4)	(1,5) : 1 x (irr-A7-8, irr-A3-4)	(1,6) : 1 x (irr-A7-8, irr-A3-4)	(2,3) : 1 x (irr-A6-7, irr-A3-4)	(2,4) : 1 x (irr-A6-7, irr-A3-4)	(2,5) : 1 x (irr-A6-7, irr-A3-4)	(2,6) : 1 x (irr-A6-7, irr-A3-4)
