mdl-(1,2,0)-162-29DA688BA4979796	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-A06-106-0-2)	Δ = 162	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-A6-7) + 2 x (irr-A6-21)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-A6-7)
mdl-(1,2,0)-162-81246082811B4C2E	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-A05-91-0-2)	Δ = 162	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-162-297D06991DD99B0A	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-C03-91-0-2)	Δ = 162	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-163-67057C7363D1EC4E	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-A05-92-0-2)	Δ = 163	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-164-C209A117670CBA7C	vertices = (vtx-A03-39-n1-1, vtx-A04-76-0-2, vtx-A05-93-0-2)	Δ = 164	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(2) : 12 x (irr-A4-5) + 2 x (irr-A4-10)	(3) : 14 x (irr-A5-6) + 1 x (irr-A5-20-q)	(1,2) : 1 x (irr-A3-4, irr-A4-5)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-169-8A56528B1FC74376	vertices = (vtx-A03-39-n1-1, vtx-C03-89-0-2, vtx-C03-89-0-2)	Δ = 169	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(3) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-171-73FC9BF739AF2C52	vertices = (vtx-A03-39-n1-1, vtx-A03-61-0-2, vtx-C04-119-0-2)	Δ = 171	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 12 x (irr-C4-8-q) + 1 x (irr-C4-27)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(1,3) : 1 x (irr-A3-4, irr-C4-8-q)
mdl-(1,2,0)-171-C65099B1D1FFE531	vertices = (vtx-A03-39-n1-1, vtx-C03-89-0-2, vtx-A05-91-0-2)	Δ = 171	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(3) : 12 x (irr-A5-6) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
mdl-(1,2,0)-171-AE350B3A7E4265AE	vertices = (vtx-A03-39-n1-1, vtx-C03-89-0-2, vtx-C03-91-0-2)	Δ = 171	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(3) : 13.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-C3-6-q)
mdl-(1,2,0)-172-5EBA4A7A1B3C0A6E	vertices = (vtx-A03-39-n1-1, vtx-C03-89-0-2, vtx-A05-92-0-2)	Δ = 172	bI-odd = ([[3,1],[0,-1],[1,1],[1,1]])	bI-even = ()	(1) : 1 x (irr-A3-6)	(2) : 12 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(3) : 13 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-C3-6-q)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
