mdl-(1,1,4)-243-2205010B70DE75F1	vertices = (vtx-A04-26-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 243	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 4 x (irr-A4-5)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 1 x (irr-A3-6)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 1 x (irr-A4-5, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-237-D45E142A296E2DE6	vertices = (vtx-B03-18-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C04-119-0-2)	Δ = 237	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7)	(6) : 1 x (irr-C4-27)	(1,6) : 0.5 x (irr-B3-8, irr-C4-8-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(5,6) : 0.5 x (irr-A3-6, irr-C4-8-q)
mdl-(1,1,4)-239-0190D55D8505849D	vertices = (vtx-B03-18-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-89-0-2)	Δ = 239	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 1 x (irr-A3-6)	(6) : 1 x (irr-C3-14a)	(1,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-241-B346ED9D7DA7C789	vertices = (vtx-B03-18-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 241	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 1 x (irr-A3-6)	(6) : 1.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-243-398E440C91722079	vertices = (vtx-B03-18-n2-0, vtx-G02-98-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 243	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(2) : 1 x (irr-G2-7)	(3) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(5) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(6) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,3) : 1 x (irr-G2-7, irr-A3-4)	(2,4) : 1 x (irr-G2-7, irr-A3-4)	(2,5) : 1 x (irr-G2-7, irr-A3-4)	(2,6) : 0.5 x (irr-G2-7, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-243-E20D9AE76A2D1E8A	vertices = (vtx-B03-18-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 243	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 2 x (irr-A3-4)	(5) : 2 x (irr-A3-4) + 1 x (irr-A3-6)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-6, irr-A3-4)	(4,6) : 1 x (irr-A3-4, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-243-A64D6A577AF98B27	vertices = (vtx-B03-18-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-B03-110-2-4, vtx-C03-91-0-2)	Δ = 243	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 2 x (irr-B3-7)	(6) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-B3-8)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-B3-8)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-B3-8)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-B3-7, irr-C3-6-q)
mdl-(1,1,4)-244-BD756B6B7907DDF8	vertices = (vtx-B03-18-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-B03-110-2-4, vtx-C03-91-0-2)	Δ = 244	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-4) + 1 x (irr-A3-6)	(5) : 1 x (irr-B3-7) + 1 x (irr-B3-8)	(6) : 0.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 0.5 x (irr-B3-8, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 1 x (irr-A3-4, irr-B3-8)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 1 x (irr-A3-4, irr-B3-8)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 1 x (irr-A3-4, irr-B3-7)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-B3-8, irr-C3-6-q)
mdl-(1,1,4)-243-DB38178AD5E100CA	vertices = (vtx-B04-23-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C03-91-0-2)	Δ = 243	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-B4-16)	(2) : 1 x (irr-A3-6)	(3) : 1 x (irr-A3-6)	(4) : 1 x (irr-A3-6)	(5) : 1 x (irr-A3-6)	(6) : 1 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(1,6) : 0.5 x (irr-B4-9, irr-C3-6-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C3-6-q)	(5,6) : 0.5 x (irr-A3-6, irr-C3-6-q)
mdl-(1,1,4)-239-78E4057B6772A242	vertices = (vtx-D04-20-n2-0, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-A03-105-2-4, vtx-C04-119-0-2)	Δ = 239	bI-odd = ()	bI-even = ([[2,2],[1,-1],[1,1],[1,1],[1,1],[1,1],[0,1]])	(1) : 2 x (irr-D4-8a)	(6) : 1 x (irr-C4-27)	(1,6) : 0.5 x (irr-D4-8b, irr-C4-8-q)	(2,3) : 2 x (irr-A3-4, irr-A3-4)	(2,4) : 2 x (irr-A3-4, irr-A3-4)	(2,5) : 2 x (irr-A3-4, irr-A3-4)	(2,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(3,4) : 2 x (irr-A3-4, irr-A3-4)	(3,5) : 2 x (irr-A3-4, irr-A3-4)	(3,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(4,5) : 2 x (irr-A3-4, irr-A3-4)	(4,6) : 0.5 x (irr-A3-6, irr-C4-8-q)	(5,6) : 0.5 x (irr-A3-6, irr-C4-8-q)
