mdl-(0,3,0)-165-32C71D761CE2ACDF	vertices = (vtx-C03-91-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 165	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 9.5 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 1 x (irr-C3-6-q, irr-A3-4)
mdl-(0,3,0)-166-6387FFF68AF493E2	vertices = (vtx-C03-89-0-2, vtx-A03-61-0-2, vtx-B03-64-0-2)	Δ = 166	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(1,2) : 1 x (irr-C3-6-q, irr-A3-4)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(0,3,0)-166-24FE8C4C3CBBB868	vertices = (vtx-C03-91-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2)	Δ = 166	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 10 x (irr-C3-6-q) + 0.5 x (irr-C3-14b-q)	(2) : 7 x (irr-G2-7)	(3) : 3 x (irr-B3-7) + 5 x (irr-B3-8)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-8)
mdl-(0,3,0)-166-3788BB2E3EE52DCB	vertices = (vtx-A05-92-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 166	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 9 x (irr-A5-6) + 0.5 x (irr-A5-20-q) + 1 x (irr-A5-15)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A5-6, irr-A3-4)	(1,3) : 1 x (irr-A5-6, irr-A3-4)
mdl-(0,3,0)-167-14140898C99705D5	vertices = (vtx-C03-89-0-2, vtx-G02-56-0-2, vtx-B03-64-0-2)	Δ = 167	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 9 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 7 x (irr-G2-7)	(3) : 8 x (irr-B3-8)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-B3-7)
mdl-(0,3,0)-167-C05A0B327CF8CD7A	vertices = (vtx-A05-93-0-2, vtx-A03-61-0-2, vtx-A03-61-0-2)	Δ = 167	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 10 x (irr-A5-6) + 1 x (irr-A5-20-q)	(2) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 10 x (irr-A3-4) + 2 x (irr-A3-6)	(1,2) : 1 x (irr-A5-6, irr-A3-4)	(1,3) : 1 x (irr-A5-6, irr-A3-4)
mdl-(0,3,0)-168-DB11773D31F9D7BB	vertices = (vtx-G02-56-0-2, vtx-G02-56-0-2, vtx-G02-56-0-2)	Δ = 168	bI-odd = ([[3,1],[1,1],[1,1],[1,1]])	bI-even = ([[2,2],[1,0],[1,0],[1,0]], [[1,4],[0,2],[0,2],[0,2]])	(1) : 10 x (irr-G2-7)	(2) : 10 x (irr-G2-7)	(3) : 10 x (irr-G2-7)
mdl-(0,3,0)-168-3A5B27B7FE9CBE92	vertices = (vtx-A04-76-0-2, vtx-A03-61-0-2, vtx-A04-76-0-2)	Δ = 168	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 7 x (irr-A4-5) + 2 x (irr-A4-10)	(2) : 11 x (irr-A3-4) + 2 x (irr-A3-6)	(3) : 11 x (irr-A4-5) + 2 x (irr-A4-10)	(1,2) : 1 x (irr-A4-5, irr-A3-4)	(1,3) : 1 x (irr-A4-5, irr-A4-5)
mdl-(0,3,0)-168-80EC34641FD32CEE	vertices = (vtx-C03-89-0-2, vtx-G02-56-0-2, vtx-D04-68-0-2)	Δ = 168	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8.5 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 7 x (irr-G2-7)	(3) : 1 x (irr-D4-8a) + 8 x (irr-D4-8b)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-D4-8a)
mdl-(0,3,0)-168-31066A9933ACF940	vertices = (vtx-C03-89-0-2, vtx-G02-56-0-2, vtx-D04-68-0-2)	Δ = 168	bI-odd = ()	bI-even = ([[2,2],[0,1],[1,0],[1,0]])	(1) : 8.5 x (irr-C3-6-q) + 1 x (irr-C3-14a)	(2) : 7 x (irr-G2-7)	(3) : 4 x (irr-D4-8a) + 5 x (irr-D4-8b)	(1,2) : 0.5 x (irr-C3-6-q, irr-G2-7)	(1,3) : 0.5 x (irr-C3-6-q, irr-D4-8b)
