irr-D17-1	1 x (irr-C2-1,irr-B14-1)
irr-D17-34	1 x (irr-C2-5,irr-B14-1) + 1 x (irr-C2-1,irr-B14-29)
irr-D17-561	1 x (irr-C2-10,irr-B14-1) + 1 x (irr-C2-5,irr-B14-29) + 1 x (irr-C2-1,irr-B14-406)
irr-D17-594	1 x (irr-C2-1,irr-B14-1) + 1 x (irr-C2-14,irr-B14-1) + 1 x (irr-C2-5,irr-B14-29) + 1 x (irr-C2-1,irr-B14-434)
