irr-D17-1	1 x (irr-D16-1)
irr-D17-34	2 x (irr-D16-1) + 1 x (irr-D16-32)
irr-D17-561	1 x (irr-D16-1) + 2 x (irr-D16-32) + 1 x (irr-D16-496)
irr-D17-594	3 x (irr-D16-1) + 2 x (irr-D16-32) + 1 x (irr-D16-527)
