irr-D17-1	1 x (irr-B4-1,irr-B12-1)
irr-D17-34	1 x (irr-B4-9,irr-B12-1) + 1 x (irr-B4-1,irr-B12-25)
irr-D17-561	1 x (irr-B4-36,irr-B12-1) + 1 x (irr-B4-9,irr-B12-25) + 1 x (irr-B4-1,irr-B12-300)
irr-D17-594	1 x (irr-B4-1,irr-B12-1) + 1 x (irr-B4-9,irr-B12-25) + 1 x (irr-B4-44,irr-B12-1) + 1 x (irr-B4-1,irr-B12-324)
