irr-D17-1	1 x (irr-B6-1,irr-B10-1)
irr-D17-34	1 x (irr-B6-13,irr-B10-1) + 1 x (irr-B6-1,irr-B10-21)
irr-D17-561	1 x (irr-B6-78,irr-B10-1) + 1 x (irr-B6-13,irr-B10-21) + 1 x (irr-B6-1,irr-B10-210)
irr-D17-594	1 x (irr-B6-1,irr-B10-1) + 1 x (irr-B6-13,irr-B10-21) + 1 x (irr-B6-90,irr-B10-1) + 1 x (irr-B6-1,irr-B10-230)
