irr-D17-1	1 x (irr-D7-1,irr-D10-1)
irr-D17-34	1 x (irr-D7-14,irr-D10-1) + 1 x (irr-D7-1,irr-D10-20)
irr-D17-561	1 x (irr-D7-91,irr-D10-1) + 1 x (irr-D7-14,irr-D10-20) + 1 x (irr-D7-1,irr-D10-190)
irr-D17-594	1 x (irr-D7-1,irr-D10-1) + 1 x (irr-D7-14,irr-D10-20) + 1 x (irr-D7-104,irr-D10-1) + 1 x (irr-D7-1,irr-D10-209)
