irr-D17-1	1 x (irr-B3-1,irr-B13-1)
irr-D17-34	1 x (irr-B3-7,irr-B13-1) + 1 x (irr-B3-1,irr-B13-27)
irr-D17-561	1 x (irr-B3-21,irr-B13-1) + 1 x (irr-B3-7,irr-B13-27) + 1 x (irr-B3-1,irr-B13-351)
irr-D17-594	1 x (irr-B3-1,irr-B13-1) + 1 x (irr-B3-7,irr-B13-27) + 1 x (irr-B3-27,irr-B13-1) + 1 x (irr-B3-1,irr-B13-377)
