irr-D17-1	1 x (irr-B5-1,irr-B11-1)
irr-D17-34	1 x (irr-B5-11,irr-B11-1) + 1 x (irr-B5-1,irr-B11-23)
irr-D17-561	1 x (irr-B5-55,irr-B11-1) + 1 x (irr-B5-11,irr-B11-23) + 1 x (irr-B5-1,irr-B11-253)
irr-D17-594	1 x (irr-B5-1,irr-B11-1) + 1 x (irr-B5-11,irr-B11-23) + 1 x (irr-B5-65,irr-B11-1) + 1 x (irr-B5-1,irr-B11-275)
