irr-D17-1	1 x (irr-A1-1,irr-A1-1,irr-D15-1)
irr-D17-34	1 x (irr-A1-2-q,irr-A1-2-q,irr-D15-1) + 1 x (irr-A1-1,irr-A1-1,irr-D15-30)
irr-D17-561	1 x (irr-A1-3,irr-A1-1,irr-D15-1) + 1 x (irr-A1-1,irr-A1-3,irr-D15-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D15-30) + 1 x (irr-A1-1,irr-A1-1,irr-D15-435)
irr-D17-594	1 x (irr-A1-1,irr-A1-1,irr-D15-1) + 1 x (irr-A1-3,irr-A1-3,irr-D15-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D15-30) + 1 x (irr-A1-1,irr-A1-1,irr-D15-464)
