irr-D17-1	1 x (irr-A3-1,irr-D14-1)
irr-D17-34	1 x (irr-A3-6,irr-D14-1) + 1 x (irr-A3-1,irr-D14-28)
irr-D17-561	1 x (irr-A3-6,irr-D14-28) + 1 x (irr-A3-15,irr-D14-1) + 1 x (irr-A3-1,irr-D14-378)
irr-D17-594	1 x (irr-A3-1,irr-D14-1) + 1 x (irr-A3-6,irr-D14-28) + 1 x (irr-A3-20b,irr-D14-1) + 1 x (irr-A3-1,irr-D14-405)
