irr-D17-1	1 x (irr-A1-1,irr-B15-1)
irr-D17-34	1 x (irr-A1-3,irr-B15-1) + 1 x (irr-A1-1,irr-B15-31)
irr-D17-561	1 x (irr-A1-3,irr-B15-1) + 1 x (irr-A1-3,irr-B15-31) + 1 x (irr-A1-1,irr-B15-465)
irr-D17-594	1 x (irr-A1-1,irr-B15-1) + 1 x (irr-A1-5,irr-B15-1) + 1 x (irr-A1-3,irr-B15-31) + 1 x (irr-A1-1,irr-B15-495)
