irr-D17-1	1 x (irr-D5-1,irr-D12-1)
irr-D17-34	1 x (irr-D5-10,irr-D12-1) + 1 x (irr-D5-1,irr-D12-24)
irr-D17-561	1 x (irr-D5-45,irr-D12-1) + 1 x (irr-D5-10,irr-D12-24) + 1 x (irr-D5-1,irr-D12-276)
irr-D17-594	1 x (irr-D5-1,irr-D12-1) + 1 x (irr-D5-10,irr-D12-24) + 1 x (irr-D5-54,irr-D12-1) + 1 x (irr-D5-1,irr-D12-299)
