irr-D17-1	1 x (irr-A16-1)
irr-D17-34	2 x (irr-A16-17)
irr-D17-561	1 x (irr-A16-1) + 2 x (irr-A16-136) + 1 x (irr-A16-288)
irr-D17-594	2 x (irr-A16-153) + 1 x (irr-A16-288)
