irr-D17-1	1 x (irr-B8-1,irr-B8-1)
irr-D17-34	1 x (irr-B8-17,irr-B8-1) + 1 x (irr-B8-1,irr-B8-17)
irr-D17-561	1 x (irr-B8-136,irr-B8-1) + 1 x (irr-B8-17,irr-B8-17) + 1 x (irr-B8-1,irr-B8-136)
irr-D17-594	1 x (irr-B8-1,irr-B8-1) + 1 x (irr-B8-17,irr-B8-17) + 1 x (irr-B8-152,irr-B8-1) + 1 x (irr-B8-1,irr-B8-152)
