irr-D17-1	1 x (irr-D8-1,irr-D9-1)
irr-D17-34	1 x (irr-D8-16,irr-D9-1) + 1 x (irr-D8-1,irr-D9-18)
irr-D17-561	1 x (irr-D8-120,irr-D9-1) + 1 x (irr-D8-16,irr-D9-18) + 1 x (irr-D8-1,irr-D9-153)
irr-D17-594	1 x (irr-D8-1,irr-D9-1) + 1 x (irr-D8-16,irr-D9-18) + 1 x (irr-D8-135,irr-D9-1) + 1 x (irr-D8-1,irr-D9-170)
