irr-D17-1	1 x (irr-B7-1,irr-B9-1)
irr-D17-34	1 x (irr-B7-15,irr-B9-1) + 1 x (irr-B7-1,irr-B9-19)
irr-D17-561	1 x (irr-B7-105,irr-B9-1) + 1 x (irr-B7-15,irr-B9-19) + 1 x (irr-B7-1,irr-B9-171)
irr-D17-594	1 x (irr-B7-1,irr-B9-1) + 1 x (irr-B7-15,irr-B9-19) + 1 x (irr-B7-119,irr-B9-1) + 1 x (irr-B7-1,irr-B9-189)
