irr-D17-1	1 x (irr-B16-1)
irr-D17-34	1 x (irr-B16-1) + 1 x (irr-B16-33)
irr-D17-561	1 x (irr-B16-33) + 1 x (irr-B16-528)
irr-D17-594	1 x (irr-B16-1) + 1 x (irr-B16-33) + 1 x (irr-B16-560)
