irr-D17-1	1 x (irr-D4-1,irr-D13-1)
irr-D17-34	1 x (irr-D4-8a,irr-D13-1) + 1 x (irr-D4-1,irr-D13-26)
irr-D17-561	1 x (irr-D4-28,irr-D13-1) + 1 x (irr-D4-8a,irr-D13-26) + 1 x (irr-D4-1,irr-D13-325)
irr-D17-594	1 x (irr-D4-1,irr-D13-1) + 1 x (irr-D4-8a,irr-D13-26) + 1 x (irr-D4-35a,irr-D13-1) + 1 x (irr-D4-1,irr-D13-350)
