irr-D17-1	1 x (irr-D6-1,irr-D11-1)
irr-D17-34	1 x (irr-D6-12,irr-D11-1) + 1 x (irr-D6-1,irr-D11-22)
irr-D17-561	1 x (irr-D6-66,irr-D11-1) + 1 x (irr-D6-12,irr-D11-22) + 1 x (irr-D6-1,irr-D11-231)
irr-D17-594	1 x (irr-D6-1,irr-D11-1) + 1 x (irr-D6-12,irr-D11-22) + 1 x (irr-D6-77,irr-D11-1) + 1 x (irr-D6-1,irr-D11-252)
