irr-C3-6-q	6	1	1	0	(1,0,0)
irr-C3-14a	14	4	-2	3	(0,1,0)
irr-C3-14b-q	14	5	-7	6	(0,0,1)
irr-C3-21	21	8	14	3	(2,0,0)
irr-C3-56-q	56	36	96	30	(3,0,0)
irr-C3-64-q	64	32	8	36	(1,1,0)
irr-C3-70	70	40	-26	63	(1,0,1)
irr-C3-84	84	72	-168	204	(0,0,2)
irr-C3-90	90	60	-42	111	(0,2,0)
irr-C3-126a-q	126	93	-135	210	(0,1,1)
irr-C3-126b	126	120	450	165	(4,0,0)
irr-C3-189	189	144	168	228	(2,1,0)
irr-C3-216-q	216	180	48	366	(2,0,1)
irr-C3-252-q	252	330	1650	660	(5,0,0)
irr-C3-330-q	330	495	-1749	2442	(0,0,3)
irr-C3-350-q	350	325	-35	780	(1,2,0)
irr-C3-378-q	378	423	-789	1446	(1,0,2)
irr-C3-385	385	440	-418	1419	(0,3,0)
irr-C3-448-q	448	480	1080	1020	(3,1,0)
irr-C3-462	462	792	5082	2145	(6,0,0)
irr-C3-512	512	512	-448	1440	(1,1,1)
irr-C3-525	525	600	810	1545	(3,0,1)
irr-C3-594	594	792	-2046	3333	(0,1,2)
irr-C3-616-q	616	748	-1232	2706	(0,2,1)
irr-C3-792-q	792	1716	13728	6006	(7,0,0)
irr-C3-1100-q	1100	1650	4290	5280	(4,0,1)
irr-C3-1344-q	1344	1952	-856	7668	(1,3,0)
irr-C3-1386a-q	1386	1815	-33	6204	(2,1,1)
