irr-A3-4	4	1	1	0	(1,0,0)
irr-A3-6	6	2	-4	3	(0,1,0)
irr-A3-10	10	6	12	3	(2,0,0)
irr-A3-15	15	8	8	6	(1,0,1)
irr-A3-20a	20	13	-11	24	(1,1,0)
irr-A3-20b	20	16	-56	54	(0,2,0)
irr-A3-20c	20	21	69	24	(3,0,0)
irr-A3-35	35	56	272	108	(4,0,0)
irr-A3-36	36	33	57	48	(2,0,1)
irr-A3-45	45	48	24	114	(2,1,0)
irr-A3-50	50	70	-380	405	(0,3,0)
irr-A3-56	56	126	846	360	(5,0,0)
irr-A3-60	60	71	-193	288	(1,2,0)
irr-A3-64	64	64	-32	168	(1,1,1)
irr-A3-70	70	98	284	219	(3,0,1)
irr-A3-84a	84	112	232	270	(2,0,2)
irr-A3-84b	84	133	277	408	(3,1,0)
irr-A3-84c	84	252	2232	990	(6,0,0)
irr-A3-105	105	224	-1744	1956	(0,4,0)
irr-A3-120a	120	238	1054	744	(4,0,1)
irr-A3-120b	120	462	5214	2376	(7,0,0)
irr-A3-126	126	210	-300	1005	(2,2,0)
irr-A3-140a	140	203	83	696	(2,1,1)
irr-A3-140b	140	259	-1277	1752	(1,3,0)
irr-A3-140c	140	308	1208	1206	(4,1,0)
irr-A3-160	160	296	872	1008	(3,0,2)
irr-A3-165	165	792	11088	5148	(8,0,0)
irr-A3-175	175	280	-680	1410	(1,2,1)
irr-A3-189	189	504	3168	2088	(5,0,1)
irr-A3-196	196	588	-6216	7182	(0,5,0)
irr-A3-216	216	630	3798	3096	(5,1,0)
irr-A3-220	220	1287	21879	10296	(9,0,0)
irr-A3-224	224	504	120	2832	(3,2,0)
irr-A3-256	256	512	896	2208	(3,1,1)
irr-A3-270	270	666	2844	2979	(4,0,2)
irr-A3-280a	280	672	-2544	5196	(2,3,0)
irr-A3-280b	280	742	-5594	7416	(1,4,0)
irr-A3-280c	280	966	8166	5112	(6,0,1)
irr-A3-286	286	2002	40612	19305	(10,0,0)
irr-A3-300a	300	580	520	2610	(2,1,2)
irr-A3-300b	300	720	2520	3330	(3,0,3)
irr-A3-315	315	1176	9888	7128	(6,1,0)
irr-A3-336	336	1344	-18528	21816	(0,6,0)
irr-A3-360a	360	762	-1158	4584	(2,2,1)
irr-A3-360b	360	1056	2352	6948	(4,2,0)
irr-A3-364	364	3003	71643	34320	(11,0,0)
irr-A3-384	384	896	-4288	7152	(1,3,1)
irr-A3-396	396	1716	18744	11286	(7,0,1)
irr-A3-420a	420	1113	3849	5904	(4,1,1)
irr-A3-420b	420	1337	8009	7536	(5,0,2)
irr-A3-440	440	2046	22638	15048	(7,1,0)
irr-A3-455	455	4368	121056	58344	(12,0,0)
irr-A3-480	480	1464	-3144	12816	(3,3,0)
irr-A3-500	500	1525	6925	9000	(4,0,3)
irr-A3-504	504	1806	-19074	24840	(1,5,0)
irr-A3-540a	540	1359	2583	7632	(3,1,2)
irr-A3-540b	540	1764	-11592	19782	(2,4,0)
irr-A3-540c	540	2007	9063	15408	(5,2,0)
irr-A3-540d	540	2772	-48312	57618	(0,7,0)
irr-A3-540e	540	2871	39303	22968	(8,0,1)
irr-A3-560	560	6188	197132	95472	(13,0,0)
irr-A3-594	594	3366	47124	29601	(8,1,0)
irr-A3-616	616	2464	19888	17028	(6,0,2)
irr-A3-630	630	1722	-204	12141	(3,2,1)
irr-A3-640	640	2176	11968	13968	(5,1,1)
irr-A3-680	680	8568	310896	151164	(14,0,0)
irr-A3-715	715	4576	76648	43758	(9,0,1)
irr-A3-729	729	1944	-1944	14094	(2,2,2)
irr-A3-735	735	2352	-17808	26964	(1,4,1)
irr-A3-750	750	2850	-300	28125	(4,3,0)
irr-A3-756	756	2205	-8739	20232	(2,3,1)
irr-A3-770a	770	2926	17644	21219	(5,0,3)
irr-A3-770b	770	3542	25124	31581	(6,2,0)
irr-A3-780	780	5291	91091	54912	(9,1,0)
irr-A3-816	816	11628	476748	232560	(15,0,0)
irr-A3-825a	825	3080	16280	22770	(4,0,4)
irr-A3-825b	825	5280	-113520	136620	(0,8,0)
irr-A3-840	840	3906	-54702	70488	(1,6,0)
