irr-A13-1	1 x (irr-A12-1)
irr-A13-14	1 x (irr-A12-1) + 1 x (irr-A12-13)
irr-A13-91	1 x (irr-A12-13) + 1 x (irr-A12-78)
irr-A13-105	1 x (irr-A12-1) + 1 x (irr-A12-13) + 1 x (irr-A12-91)
irr-A13-195	1 x (irr-A12-1) + 2 x (irr-A12-13) + 1 x (irr-A12-168)
