irr-C21-1	1 x (irr-A1-1,irr-C20-1)
irr-C21-42-q	1 x (irr-A1-2-q,irr-C20-1) + 1 x (irr-A1-1,irr-C20-40-q)
irr-C21-860	1 x (irr-A1-1,irr-C20-1) + 1 x (irr-A1-2-q,irr-C20-40-q) + 1 x (irr-A1-1,irr-C20-779)
irr-C21-903	1 x (irr-A1-3,irr-C20-1) + 1 x (irr-A1-2-q,irr-C20-40-q) + 1 x (irr-A1-1,irr-C20-820)
