irr-C21-1	1 x (irr-C5-1,irr-C16-1)
irr-C21-42-q	1 x (irr-C5-10-q,irr-C16-1) + 1 x (irr-C5-1,irr-C16-32-q)
irr-C21-860	1 x (irr-C5-1,irr-C16-1) + 1 x (irr-C5-44,irr-C16-1) + 1 x (irr-C5-10-q,irr-C16-32-q) + 1 x (irr-C5-1,irr-C16-495)
irr-C21-903	1 x (irr-C5-55,irr-C16-1) + 1 x (irr-C5-10-q,irr-C16-32-q) + 1 x (irr-C5-1,irr-C16-528)
