irr-C21-1	1 x (irr-C3-1,irr-C18-1)
irr-C21-42-q	1 x (irr-C3-6-q,irr-C18-1) + 1 x (irr-C3-1,irr-C18-36-q)
irr-C21-860	1 x (irr-C3-1,irr-C18-1) + 1 x (irr-C3-14a,irr-C18-1) + 1 x (irr-C3-6-q,irr-C18-36-q) + 1 x (irr-C3-1,irr-C18-629)
irr-C21-903	1 x (irr-C3-21,irr-C18-1) + 1 x (irr-C3-6-q,irr-C18-36-q) + 1 x (irr-C3-1,irr-C18-666)
