irr-C21-1	1 x (irr-A20-1)
irr-C21-42-q	2 x (irr-A20-21)
irr-C21-860	2 x (irr-A20-210) + 1 x (irr-A20-440)
irr-C21-903	1 x (irr-A20-1) + 2 x (irr-A20-231) + 1 x (irr-A20-440)
