irr-C21-1	1 x (irr-B3-1,irr-C3-1)
irr-C21-42-q	1 x (irr-B3-7,irr-C3-6-q)
irr-C21-860	1 x (irr-B3-1,irr-C3-14a) + 1 x (irr-B3-27,irr-C3-1) + 1 x (irr-B3-27,irr-C3-14a) + 1 x (irr-B3-21,irr-C3-21)
irr-C21-903	1 x (irr-B3-1,irr-C3-21) + 1 x (irr-B3-21,irr-C3-1) + 1 x (irr-B3-21,irr-C3-14a) + 1 x (irr-B3-27,irr-C3-21)
