irr-A26-1	1 x (irr-A3-1,irr-A22-1)
irr-A26-27	1 x (irr-A3-4,irr-A22-1) + 1 x (irr-A3-1,irr-A22-23)
irr-A26-351	1 x (irr-A3-6,irr-A22-1) + 1 x (irr-A3-4,irr-A22-23) + 1 x (irr-A3-1,irr-A22-253)
irr-A26-378	1 x (irr-A3-10,irr-A22-1) + 1 x (irr-A3-4,irr-A22-23) + 1 x (irr-A3-1,irr-A22-276)
irr-A26-728	1 x (irr-A3-1,irr-A22-1) + 1 x (irr-A3-15,irr-A22-1) + 2 x (irr-A3-4,irr-A22-23) + 1 x (irr-A3-1,irr-A22-528)
