irr-A26-1	1 x (irr-B13-1)
irr-A26-27	1 x (irr-B13-27)
irr-A26-351	1 x (irr-B13-351)
irr-A26-378	1 x (irr-B13-1) + 1 x (irr-B13-377)
irr-A26-728	1 x (irr-B13-351) + 1 x (irr-B13-377)
