irr-A26-1	1 x (irr-A25-1)
irr-A26-27	1 x (irr-A25-1) + 1 x (irr-A25-26)
irr-A26-351	1 x (irr-A25-26) + 1 x (irr-A25-325)
irr-A26-378	1 x (irr-A25-1) + 1 x (irr-A25-26) + 1 x (irr-A25-351)
irr-A26-728	1 x (irr-A25-1) + 2 x (irr-A25-26) + 1 x (irr-A25-675)
