irr-C18-1	1 x (irr-C8-1,irr-C10-1)
irr-C18-36-q	1 x (irr-C8-16-q,irr-C10-1) + 1 x (irr-C8-1,irr-C10-20-q)
irr-C18-629	1 x (irr-C8-1,irr-C10-1) + 1 x (irr-C8-119,irr-C10-1) + 1 x (irr-C8-16-q,irr-C10-20-q) + 1 x (irr-C8-1,irr-C10-189)
irr-C18-666	1 x (irr-C8-136,irr-C10-1) + 1 x (irr-C8-16-q,irr-C10-20-q) + 1 x (irr-C8-1,irr-C10-210)
