irr-C18-1	1 x (irr-B4-1,irr-C2-1)
irr-C18-36-q	1 x (irr-B4-9,irr-C2-4-q)
irr-C18-629	1 x (irr-B4-1,irr-C2-5) + 1 x (irr-B4-44,irr-C2-1) + 1 x (irr-B4-36,irr-C2-10) + 1 x (irr-B4-44,irr-C2-5)
irr-C18-666	1 x (irr-B4-1,irr-C2-10) + 1 x (irr-B4-36,irr-C2-1) + 1 x (irr-B4-36,irr-C2-5) + 1 x (irr-B4-44,irr-C2-10)
