irr-C18-1	1 x (irr-A1-1,irr-C17-1)
irr-C18-36-q	1 x (irr-A1-2-q,irr-C17-1) + 1 x (irr-A1-1,irr-C17-34-q)
irr-C18-629	1 x (irr-A1-1,irr-C17-1) + 1 x (irr-A1-2-q,irr-C17-34-q) + 1 x (irr-A1-1,irr-C17-560)
irr-C18-666	1 x (irr-A1-3,irr-C17-1) + 1 x (irr-A1-2-q,irr-C17-34-q) + 1 x (irr-A1-1,irr-C17-595)
