irr-C18-1	1 x (irr-A1-1,irr-D9-1)
irr-C18-36-q	1 x (irr-A1-2-q,irr-D9-18)
irr-C18-629	1 x (irr-A1-3,irr-D9-153) + 1 x (irr-A1-1,irr-D9-170)
irr-C18-666	1 x (irr-A1-3,irr-D9-1) + 1 x (irr-A1-3,irr-D9-170) + 1 x (irr-A1-1,irr-D9-153)
