irr-C18-1	1 x (irr-A17-1)
irr-C18-36-q	2 x (irr-A17-18)
irr-C18-629	2 x (irr-A17-153) + 1 x (irr-A17-323)
irr-C18-666	1 x (irr-A17-1) + 2 x (irr-A17-171) + 1 x (irr-A17-323)
