irr-C18-1	1 x (irr-A3-1,irr-C3-1)
irr-C18-36-q	1 x (irr-A3-6,irr-C3-6-q)
irr-C18-629	1 x (irr-A3-1,irr-C3-14a) + 1 x (irr-A3-20b,irr-C3-1) + 1 x (irr-A3-20b,irr-C3-14a) + 1 x (irr-A3-15,irr-C3-21)
irr-C18-666	1 x (irr-A3-1,irr-C3-21) + 1 x (irr-A3-15,irr-C3-1) + 1 x (irr-A3-15,irr-C3-14a) + 1 x (irr-A3-20b,irr-C3-21)
