irr-C18-1	1 x (irr-C7-1,irr-C11-1)
irr-C18-36-q	1 x (irr-C7-14-q,irr-C11-1) + 1 x (irr-C7-1,irr-C11-22-q)
irr-C18-629	1 x (irr-C7-1,irr-C11-1) + 1 x (irr-C7-90,irr-C11-1) + 1 x (irr-C7-14-q,irr-C11-22-q) + 1 x (irr-C7-1,irr-C11-230)
irr-C18-666	1 x (irr-C7-105,irr-C11-1) + 1 x (irr-C7-14-q,irr-C11-22-q) + 1 x (irr-C7-1,irr-C11-253)
