irr-A20-1	1 x (irr-A19-1)
irr-A20-21	1 x (irr-A19-1) + 1 x (irr-A19-20)
irr-A20-210	1 x (irr-A19-20) + 1 x (irr-A19-190)
irr-A20-231	1 x (irr-A19-1) + 1 x (irr-A19-20) + 1 x (irr-A19-210)
irr-A20-440	1 x (irr-A19-1) + 2 x (irr-A19-20) + 1 x (irr-A19-399)
