irr-A20-1	1 x (irr-A6-1)
irr-A20-21	1 x (irr-A6-21)
irr-A20-210	1 x (irr-A6-210a)
irr-A20-231	1 x (irr-A6-35) + 1 x (irr-A6-196)
irr-A20-440	1 x (irr-A6-48) + 1 x (irr-A6-392)
