irr-A20-1	1 x (irr-A5-1)
irr-A20-21	1 x (irr-A5-21)
irr-A20-210	1 x (irr-A5-210b)
irr-A20-231	1 x (irr-A5-105b) + 1 x (irr-A5-126)
irr-A20-440	1 x (irr-A5-35) + 1 x (irr-A5-405)
