irr-A23-1	1 x (irr-D12-1)
irr-A23-24	1 x (irr-D12-24)
irr-A23-276	1 x (irr-D12-276)
irr-A23-300	1 x (irr-D12-1) + 1 x (irr-D12-299)
irr-A23-575	1 x (irr-D12-276) + 1 x (irr-D12-299)
