irr-A23-1	1 x (irr-C12-1)
irr-A23-24	1 x (irr-C12-24-q)
irr-A23-276	1 x (irr-C12-1) + 1 x (irr-C12-275)
irr-A23-300	1 x (irr-C12-300)
irr-A23-575	1 x (irr-C12-275) + 1 x (irr-C12-300)
