irr-A23-1	1 x (irr-A4-1,irr-A18-1)
irr-A23-24	1 x (irr-A4-5,irr-A18-1) + 1 x (irr-A4-1,irr-A18-19)
irr-A23-276	1 x (irr-A4-10,irr-A18-1) + 1 x (irr-A4-5,irr-A18-19) + 1 x (irr-A4-1,irr-A18-171)
irr-A23-300	1 x (irr-A4-15,irr-A18-1) + 1 x (irr-A4-5,irr-A18-19) + 1 x (irr-A4-1,irr-A18-190)
irr-A23-575	1 x (irr-A4-1,irr-A18-1) + 1 x (irr-A4-24,irr-A18-1) + 2 x (irr-A4-5,irr-A18-19) + 1 x (irr-A4-1,irr-A18-360)
