vtx-A14-1-n1-n1	Δ = 1	bi.bi = -1	b0.bi = -1	hypers = 7 x (irr-A14-15) + 1 x (irr-A14-120)
vtx-A14-226-n2-0	Δ = 226	bi.bi = -2	b0.bi = 0	hypers = 30 x (irr-A14-15)
vtx-A14-226-n1-1	Δ = 226	bi.bi = -1	b0.bi = 1	hypers = 23 x (irr-A14-15) + 1 x (irr-A14-105)
vtx-A14-226-0-2	Δ = 226	bi.bi = 0	b0.bi = 2	hypers = 16 x (irr-A14-15) + 2 x (irr-A14-105)
vtx-A14-226-1-3	Δ = 226	bi.bi = 1	b0.bi = 3	hypers = 9 x (irr-A14-15) + 3 x (irr-A14-105)
vtx-A14-226-2-4	Δ = 226	bi.bi = 2	b0.bi = 4	hypers = 2 x (irr-A14-15) + 4 x (irr-A14-105)
