vtx-A06-50-n2-0	Δ = 50	bi.bi = -2	b0.bi = 0	hypers = 14 x (irr-A6-7)
vtx-A06-260-5-7	Δ = 260	bi.bi = 5	b0.bi = 7	hypers = 31 x (irr-A6-7) + 1 x (irr-A6-21) + 2 x (irr-A6-35)
vtx-A06-260-9-9	Δ = 260	bi.bi = 9	b0.bi = 9	hypers = 14 x (irr-A6-7) + 7 x (irr-A6-21) + 1 x (irr-A6-28) + 1 x (irr-A6-35)
vtx-A06-260-12-10	Δ = 260	bi.bi = 12	b0.bi = 10	hypers = 16 x (irr-A6-7) + 2 x (irr-A6-28) + 4 x (irr-A6-35)
vtx-A06-264-16-12	Δ = 264	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-A6-7) + 4 x (irr-A6-35) + 3 x (irr-A6-48)
vtx-A06-265-16-12	Δ = 265	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-A6-7) + 1 x (irr-A6-21) + 1 x (irr-A6-28) + 4 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-266-9-9	Δ = 266	bi.bi = 9	b0.bi = 9	hypers = 19 x (irr-A6-7) + 3 x (irr-A6-21) + 2 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-266-16-12	Δ = 266	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-A6-7) + 2 x (irr-A6-21) + 2 x (irr-A6-28) + 4 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-267-9-9	Δ = 267	bi.bi = 9	b0.bi = 9	hypers = 19 x (irr-A6-7) + 4 x (irr-A6-21) + 1 x (irr-A6-28) + 2 x (irr-A6-35)
vtx-A06-267-16-12	Δ = 267	bi.bi = 16	b0.bi = 12	hypers = 4 x (irr-A6-7) + 3 x (irr-A6-21) + 3 x (irr-A6-28) + 4 x (irr-A6-35)
vtx-A06-267-21-13-a	Δ = 267	bi.bi = 21	b0.bi = 13	hypers = 7 x (irr-A6-7) + 6 x (irr-A6-21) + 1 x (irr-A6-140)
vtx-A06-267-21-13-b	Δ = 267	bi.bi = 21	b0.bi = 13	hypers = 6 x (irr-A6-7) + 6 x (irr-A6-21) + 1 x (irr-A6-35) + 1 x (irr-A6-112)
vtx-A06-274-6-8	Δ = 274	bi.bi = 6	b0.bi = 8	hypers = 22 x (irr-A6-7) + 8 x (irr-A6-21)
vtx-A06-274-21-13-a	Δ = 274	bi.bi = 21	b0.bi = 13	hypers = 12 x (irr-A6-7) + 3 x (irr-A6-21) + 1 x (irr-A6-35) + 1 x (irr-A6-140)
vtx-A06-274-21-13-b	Δ = 274	bi.bi = 21	b0.bi = 13	hypers = 11 x (irr-A6-7) + 3 x (irr-A6-21) + 2 x (irr-A6-35) + 1 x (irr-A6-112)
vtx-A06-281-6-8	Δ = 281	bi.bi = 6	b0.bi = 8	hypers = 27 x (irr-A6-7) + 5 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-281-21-13-a	Δ = 281	bi.bi = 21	b0.bi = 13	hypers = 16 x (irr-A6-7) + 3 x (irr-A6-35) + 1 x (irr-A6-112)
vtx-A06-281-21-13-b	Δ = 281	bi.bi = 21	b0.bi = 13	hypers = 17 x (irr-A6-7) + 2 x (irr-A6-35) + 1 x (irr-A6-140)
vtx-A06-287-25-15-b	Δ = 287	bi.bi = 25	b0.bi = 15	hypers = 4 x (irr-A6-7) + 2 x (irr-A6-21) + 3 x (irr-A6-35) + 1 x (irr-A6-48) + 1 x (irr-A6-112)
vtx-A06-288-6-8	Δ = 288	bi.bi = 6	b0.bi = 8	hypers = 32 x (irr-A6-7) + 2 x (irr-A6-21) + 2 x (irr-A6-35)
vtx-A06-288-20-14	Δ = 288	bi.bi = 20	b0.bi = 14	hypers = 2 x (irr-A6-7) + 4 x (irr-A6-28) + 6 x (irr-A6-35)
vtx-A06-288-25-15-b	Δ = 288	bi.bi = 25	b0.bi = 15	hypers = 4 x (irr-A6-7) + 3 x (irr-A6-21) + 1 x (irr-A6-28) + 3 x (irr-A6-35) + 1 x (irr-A6-112)
vtx-A06-295-25-15-a	Δ = 295	bi.bi = 25	b0.bi = 15	hypers = 10 x (irr-A6-7) + 1 x (irr-A6-28) + 3 x (irr-A6-35) + 1 x (irr-A6-140)
vtx-A06-295-25-15-b	Δ = 295	bi.bi = 25	b0.bi = 15	hypers = 9 x (irr-A6-7) + 1 x (irr-A6-28) + 4 x (irr-A6-35) + 1 x (irr-A6-112)
vtx-A06-302-7-9	Δ = 302	bi.bi = 7	b0.bi = 9	hypers = 23 x (irr-A6-7) + 9 x (irr-A6-21)
vtx-A06-309-7-9	Δ = 309	bi.bi = 7	b0.bi = 9	hypers = 28 x (irr-A6-7) + 6 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-316-7-9	Δ = 316	bi.bi = 7	b0.bi = 9	hypers = 33 x (irr-A6-7) + 3 x (irr-A6-21) + 2 x (irr-A6-35)
vtx-A06-323-7-9	Δ = 323	bi.bi = 7	b0.bi = 9	hypers = 38 x (irr-A6-7) + 3 x (irr-A6-35)
vtx-A06-330-8-10	Δ = 330	bi.bi = 8	b0.bi = 10	hypers = 24 x (irr-A6-7) + 10 x (irr-A6-21)
vtx-A06-337-8-10	Δ = 337	bi.bi = 8	b0.bi = 10	hypers = 29 x (irr-A6-7) + 7 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-342-15-13	Δ = 342	bi.bi = 15	b0.bi = 13	hypers = 19 x (irr-A6-7) + 1 x (irr-A6-21) + 4 x (irr-A6-35) + 2 x (irr-A6-48)
vtx-A06-343-15-13	Δ = 343	bi.bi = 15	b0.bi = 13	hypers = 19 x (irr-A6-7) + 2 x (irr-A6-21) + 1 x (irr-A6-28) + 4 x (irr-A6-35) + 1 x (irr-A6-48)
vtx-A06-344-8-10	Δ = 344	bi.bi = 8	b0.bi = 10	hypers = 34 x (irr-A6-7) + 4 x (irr-A6-21) + 2 x (irr-A6-35)
vtx-A06-344-15-13	Δ = 344	bi.bi = 15	b0.bi = 13	hypers = 19 x (irr-A6-7) + 3 x (irr-A6-21) + 2 x (irr-A6-28) + 4 x (irr-A6-35)
vtx-A06-351-8-10	Δ = 351	bi.bi = 8	b0.bi = 10	hypers = 39 x (irr-A6-7) + 1 x (irr-A6-21) + 3 x (irr-A6-35)
vtx-A06-351-15-13	Δ = 351	bi.bi = 15	b0.bi = 13	hypers = 24 x (irr-A6-7) + 2 x (irr-A6-28) + 5 x (irr-A6-35)
vtx-A06-358-9-11	Δ = 358	bi.bi = 9	b0.bi = 11	hypers = 25 x (irr-A6-7) + 11 x (irr-A6-21)
vtx-A06-365-9-11	Δ = 365	bi.bi = 9	b0.bi = 11	hypers = 30 x (irr-A6-7) + 8 x (irr-A6-21) + 1 x (irr-A6-35)
vtx-A06-372-9-11	Δ = 372	bi.bi = 9	b0.bi = 11	hypers = 35 x (irr-A6-7) + 5 x (irr-A6-21) + 2 x (irr-A6-35)
vtx-A06-379-9-11	Δ = 379	bi.bi = 9	b0.bi = 11	hypers = 40 x (irr-A6-7) + 2 x (irr-A6-21) + 3 x (irr-A6-35)
